,WORKSITE_STATE,SOC2,total_positions,avg_wage,avg_pw,wage_gap,avg_pw_level,sec_entity_rate,h1b_dep_rate,new_emp_prop,cont_emp_prop,change_prev_prop,concurrent_prop,change_emp_prop,amend_pet_prop
0,AL,15,5.0,84282.0,84282.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
1,AR,15,12.0,80412.9,80412.9,0.0,2.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
2,AZ,13,5.0,121202.0,121202.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
3,AZ,15,14.0,85160.71428571429,81119.92857142857,4040.785714285714,2.0,1.0,1.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.7857142857142857
4,CA,11,3.0,188614.0,188614.0,0.0,3.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.3333333333333333
5,CA,13,11.0,129603.09090909091,129603.09090909091,0.0,2.909090909090909,1.0,1.0,0.0,0.0,0.0,0.0,0.5454545454545454,0.45454545454545453
6,CA,15,158.0,133501.76202531645,133333.7594936709,168.0025316455694,2.2341772151898733,1.0,1.0,0.05063291139240506,0.17088607594936708,0.10126582278481013,0.006329113924050633,0.27848101265822783,0.3924050632911392
7,CA,17,197.0,160925.076142132,160895.02538071066,30.050761421319798,2.487309644670051,1.0,1.0,0.25380710659898476,0.2436548223350254,0.015228426395939087,0.0,0.2436548223350254,0.2436548223350254
8,CO,15,29.0,115627.27586206897,115627.27586206897,0.0,2.6206896551724137,1.0,1.0,0.0,0.13793103448275862,0.1724137931034483,0.0,0.0,0.6896551724137931
9,CT,15,18.0,93775.5,93775.5,0.0,2.5555555555555554,1.0,1.0,0.0,0.05555555555555555,0.5555555555555556,0.0,0.0,0.3888888888888889
10,DC,15,12.0,111945.8,111945.8,0.0,2.0,1.0,1.0,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
11,FL,13,13.0,112754.61538461539,110845.0,1909.6153846153845,3.5384615384615383,1.0,1.0,0.0,0.07692307692307693,0.0,0.0,0.0,0.9230769230769231
12,FL,15,27.0,88917.07407407407,88917.07407407407,0.0,2.5555555555555554,1.0,1.0,0.07407407407407407,0.0,0.37037037037037035,0.0,0.0,0.5555555555555556
13,GA,15,114.0,101700.28245614034,99666.88771929823,2033.3947368421052,2.710526315789474,1.0,1.0,0.043859649122807015,0.06140350877192982,0.2631578947368421,0.02631578947368421,0.043859649122807015,0.5614035087719298
14,IA,15,6.0,86400.0,74360.0,12040.0,2.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
15,ID,15,8.0,108035.375,78499.125,29536.25,3.25,1.0,1.0,0.125,0.25,0.125,0.0,0.125,0.375
16,IL,13,8.0,102104.75,102104.75,0.0,3.25,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.875
17,IL,15,59.0,93760.10169491525,93760.10169491525,0.0,2.3389830508474576,1.0,1.0,0.06779661016949153,0.1016949152542373,0.3898305084745763,0.05084745762711865,0.06779661016949153,0.3220338983050847
18,IN,13,5.0,118206.0,118206.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
19,KS,15,9.0,80695.0,71850.33333333333,8844.666666666666,2.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
20,KS,29,2.0,64480.0,41184.0,23296.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0
21,KY,15,11.0,78939.90909090909,72611.0,6328.909090909091,2.272727272727273,1.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182
22,MA,13,3.0,135450.0,135450.0,0.0,3.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
23,MA,15,42.0,112243.65714285713,111778.18095238095,465.4761904761905,2.142857142857143,1.0,1.0,0.047619047619047616,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.21428571428571427,0.4523809523809524
24,MD,15,10.0,149698.0,149698.0,0.0,4.0,1.0,1.0,0.2,0.2,0.2,0.0,0.2,0.2
25,MI,15,47.0,95236.28936170212,92585.36595744682,2650.92340425532,2.4468085106382977,1.0,1.0,0.14893617021276595,0.2553191489361702,0.14893617021276595,0.14893617021276595,0.3829787234042553,0.5531914893617021
26,MN,13,10.0,124446.0,124446.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
27,MN,15,31.0,97217.35483870968,96526.70967741935,690.6451612903226,2.3225806451612905,1.0,1.0,0.0967741935483871,0.12903225806451613,0.22580645161290322,0.0,0.12903225806451613,0.41935483870967744
28,MO,15,24.0,78429.25,74885.25,3544.0,2.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.08333333333333333,0.5833333333333334
29,NC,13,5.0,137717.0,137717.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
30,NC,15,102.0,95995.30392156863,95747.00980392157,248.2941176470588,2.3529411764705883,1.0,1.0,0.12745098039215685,0.058823529411764705,0.17647058823529413,0.029411764705882353,0.029411764705882353,0.5784313725490197
31,NE,13,5.0,111779.0,111779.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
32,NE,15,10.0,87797.0,87797.0,0.0,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
33,NH,15,17.0,87769.90588235293,87769.90588235293,0.0,2.0,1.0,1.0,0.11764705882352941,0.11764705882352941,0.4117647058823529,0.11764705882352941,0.11764705882352941,0.11764705882352941
34,NJ,13,8.0,111704.0,111704.0,0.0,3.25,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.875
35,NJ,15,84.0,100315.97857142857,100204.65714285713,111.32142857142857,2.2023809523809526,1.0,1.0,0.10714285714285714,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.19047619047619047,0.4166666666666667
36,NV,15,8.0,107226.125,94985.625,12240.5,2.625,1.0,1.0,0.0,0.25,0.0,0.0,0.25,0.5
37,NY,13,10.0,159682.0,159682.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
38,NY,15,16.0,111843.0625,111843.0625,0.0,2.5,1.0,1.0,0.0,0.125,0.3125,0.0,0.0,0.5625
39,OH,13,10.0,99663.0,99663.0,0.0,3.5,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
40,OH,15,50.0,98572.36,97974.28,598.08,2.62,1.0,1.0,0.02,0.16,0.34,0.02,0.02,0.44
41,OK,15,3.0,86400.0,79934.0,6466.0,2.0,1.0,1.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666
42,OR,13,5.0,119517.0,119517.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
43,OR,15,30.0,87423.90666666668,87423.90666666668,0.0,2.1666666666666665,1.0,1.0,0.06666666666666667,0.1,0.23333333333333334,0.06666666666666667,0.06666666666666667,0.4666666666666667
44,PA,13,8.0,86181.25,77165.5,9015.75,2.0,1.0,1.0,0.0,0.125,0.0,0.0,0.0,0.875
45,PA,15,122.0,96075.65081967214,95731.51147540983,344.1393442622951,2.3278688524590163,1.0,1.0,0.12295081967213115,0.19672131147540983,0.1721311475409836,0.10655737704918032,0.10655737704918032,0.29508196721311475
46,RI,15,31.0,110332.32258064517,110332.32258064517,0.0,2.3870967741935485,1.0,1.0,0.1935483870967742,0.12903225806451613,0.2903225806451613,0.12903225806451613,0.12903225806451613,0.12903225806451613
47,SC,15,11.0,108368.09090909091,108368.09090909091,0.0,2.909090909090909,1.0,1.0,0.0,0.18181818181818182,0.0,0.0,0.0,0.8181818181818182
48,TN,15,36.0,81577.75,77933.66666666667,3644.0833333333335,2.2777777777777777,1.0,1.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.8055555555555556
49,TX,13,23.0,128332.52173913043,128332.52173913043,0.0,3.869565217391304,1.0,1.0,0.0,0.043478260869565216,0.21739130434782608,0.0,0.0,0.7391304347826086
50,TX,15,466.0,102539.70729613735,102125.94978540773,413.7575107296137,2.1759656652360513,1.0,1.0,0.11373390557939914,0.17381974248927037,0.16738197424892703,0.11373390557939914,0.12446351931330472,0.30686695278969955
51,UT,13,5.0,100589.0,100589.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
52,UT,15,32.0,109333.875,109333.875,0.0,2.96875,1.0,1.0,0.0625,0.0625,0.0625,0.0625,0.0625,0.6875
53,VA,15,17.0,103261.5294117647,103103.5294117647,158.0,1.8823529411764706,1.0,1.0,0.23529411764705882,0.17647058823529413,0.11764705882352941,0.11764705882352941,0.11764705882352941,0.23529411764705882
54,WA,15,14.0,128529.35714285714,128529.35714285714,0.0,2.0,1.0,1.0,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714
55,WI,13,5.0,140691.0,140691.0,0.0,4.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0
56,WI,15,22.0,86759.68181818182,86759.68181818182,0.0,3.0,1.0,1.0,0.0,0.045454545454545456,0.2727272727272727,0.0,0.0,0.6818181818181818
